step,performance,entropy,output length
1,0.3335937559604645,0.43989768624305725,61.09375
2,0.32734376192092896,0.39595869183540344,68.8203125
3,0.3867187798023224,0.4600139558315277,55.9765625
4,0.44609376788139343,0.4479272663593292,65.30078125
5,0.49140626192092896,0.4267639219760895,68.5390625
6,0.4789062738418579,0.3453848361968994,66.23046875
7,0.49921876192092896,0.4591074287891388,59.08203125
8,0.4453124701976776,0.5016705393791199,45.59765625
9,0.49531251192092896,0.37369266152381897,60.87890625
10,0.4765625,0.36728838086128235,57.17578125
11,0.4585937559604645,0.27960559725761414,80.0234375
12,0.5132812261581421,0.3212184011936188,56.42578125
13,0.43828123807907104,0.3177090287208557,57.8359375
14,0.43437498807907104,0.42334240674972534,37.3515625
15,0.51953125,0.3033375144004822,59.33984375
16,0.5179687738418579,0.3643617033958435,47
17,0.574999988079071,0.47821056842803955,40.515625
18,0.49296876788139343,0.36283034086227417,45.8203125
19,0.6226561665534973,0.3115871548652649,64.1875
20,0.4937499761581421,0.29676735401153564,58.96875
21,0.5000000596046448,0.4020855128765106,37.4609375
22,0.5648436546325684,0.37576934695243835,48.234375
23,0.47578126192092896,0.35323068499565125,55.55859375
24,0.503125011920929,0.4553895890712738,38.703125
25,0.5609375238418579,0.35375094413757324,56.18359375
26,0.507031261920929,0.3006470799446106,62.78125
27,0.51953125,0.30424588918685913,59.984375
28,0.4867187440395355,0.41895923018455505,47.140625
29,0.6242187023162842,0.38200923800468445,46.46484375
30,0.621874988079071,0.42944544553756714,39.5859375
31,0.515625,0.42201000452041626,34.359375
32,0.512499988079071,0.4333260953426361,35.9140625
33,0.5250000357627869,0.4471241235733032,40.81640625
34,0.532031238079071,0.2853139638900757,61.3359375
35,0.5523437261581421,0.31369394063949585,38.8515625
36,0.629687488079071,0.3121175169944763,51.0625
37,0.5710937976837158,0.35879892110824585,41.109375
38,0.6757811903953552,0.27627092599868774,52.7109375
39,0.6460936665534973,0.36126792430877686,44.98046875
40,0.5312500596046448,0.3713732957839966,32.3125
41,0.5453125238418579,0.3113902509212494,50.37890625
42,0.5843749642372131,0.4405951499938965,35.1796875
43,0.5906250476837158,0.414375364780426,34.23828125
44,0.6468750238418579,0.43480128049850464,36.3671875
45,0.653124988079071,0.3423851728439331,31.21484375
46,0.6343749761581421,0.3989977240562439,32.73828125
47,0.5374999642372131,0.3592499792575836,32.70703125
48,0.5625,0.3915954828262329,33.8359375
49,0.6187500357627869,0.4192971885204315,32.79296875
50,0.5562499761581421,0.42332807183265686,34.6953125
51,0.6343749165534973,0.3908764719963074,33.73828125
52,0.6499999761581421,0.45718950033187866,38.27734375
53,0.737500011920929,0.4031611382961273,34.10546875
54,0.5718749761581421,0.4117239713668823,33.8515625
55,0.624218761920929,0.37769168615341187,43.35546875
56,0.667187511920929,0.3123517632484436,42.8203125
57,0.5687499642372131,0.46270129084587097,35.66015625
58,0.7007812261581421,0.3435544967651367,50.57421875
59,0.6023437976837158,0.39542603492736816,42.359375
60,0.581250011920929,0.4342602789402008,35.1171875
61,0.6468750238418579,0.42939865589141846,35.078125
62,0.49609375,0.4144144058227539,41.625
63,0.5937500596046448,0.484089732170105,37.44140625
64,0.559374988079071,0.5150840282440186,38.5859375
65,0.6437499523162842,0.4696831703186035,38.58984375
66,0.625781238079071,0.28573545813560486,52.71484375
67,0.6875,0.43791723251342773,35.109375
68,0.668749988079071,0.4822182059288025,38.8828125
69,0.7398437261581421,0.40726736187934875,42.35546875
70,0.4867187738418579,0.3693482577800751,45.01171875
71,0.621874988079071,0.46914881467819214,37.03515625
72,0.675000011920929,0.4783523380756378,35.27734375
73,0.5843750238418579,0.47859543561935425,36.04296875
74,0.524218738079071,0.35026848316192627,37.828125
75,0.60546875,0.3504619598388672,37.62890625
76,0.643750011920929,0.45256125926971436,35.078125
77,0.5406249761581421,0.4207003712654114,32.68359375
78,0.6499999761581421,0.467573344707489,34.75390625
79,0.696093738079071,0.3318448066711426,39.36328125
80,0.5718749761581421,0.3768777847290039,32.50390625
81,0.6148437261581421,0.3519037365913391,37.65234375
82,0.6031250357627869,0.39542335271835327,34.140625
83,0.675000011920929,0.40185320377349854,32.0390625
84,0.7585937976837158,0.3805190920829773,37.77734375
85,0.762499988079071,0.44499942660331726,34.41015625
86,0.6679686903953552,0.3285769522190094,40.515625
87,0.5804687738418579,0.37591537833213806,38.40625
88,0.6117187738418579,0.32367148995399475,38.8125
89,0.5968750715255737,0.40544700622558594,32.98828125
90,0.621874988079071,0.4337053894996643,31.84765625
91,0.6679686903953552,0.4122354984283447,35.62890625
92,0.6062499284744263,0.3740467429161072,31.24609375
93,0.6687500476837158,0.4089083671569824,32.09765625
94,0.609375,0.3649122714996338,33.3984375
95,0.625,0.3845287263393402,31.20703125
96,0.7124999761581421,0.376963347196579,32.828125
97,0.7749999761581421,0.4914182424545288,34.59375
98,0.6874999403953552,0.45219483971595764,32.48046875
99,0.7179687023162842,0.3955616056919098,40.1328125
100,0.6968749165534973,0.4031158685684204,32.09375
101,0.696093738079071,0.3920634984970093,39.375
102,0.6187499761581421,0.35622262954711914,31.23046875
103,0.6148437261581421,0.31942251324653625,34.6328125
104,0.6468750238418579,0.4174431562423706,31.44140625
105,0.6117187142372131,0.3426838517189026,41.21875
106,0.6328125,0.3071340024471283,40.90234375
107,0.6875000596046448,0.40252771973609924,32.76171875
108,0.6249999403953552,0.4117354452610016,31.421875
109,0.6656249165534973,0.3969704806804657,29.9140625
110,0.7843749523162842,0.36467236280441284,31.53515625
111,0.6500000357627869,0.3622567653656006,31.91796875
112,0.6093750596046448,0.36000972986221313,32.1171875
113,0.6781250238418579,0.3647175431251526,31.53125
114,0.7718750238418579,0.3767925202846527,29.69140625
115,0.6812499761581421,0.4257251024246216,30.9765625
116,0.65625,0.35656318068504333,30.32421875
117,0.7304688096046448,0.36744019389152527,32.48828125
118,0.675000011920929,0.3434186577796936,30.2109375
119,0.6937500238418579,0.38923004269599915,33.078125
