step,performance,entropy,output length
0,,,
1,0.2421875,0.25598680903203785,363.26953125
2,0.203125,0.2604009744245559,367.02734375
3,0.234375,0.2575412066653371,368.30078125
4,0.2421875,0.25099430000409484,362.49609375
5,0.3203125,0.23687754361890256,350.35546875
6,0.359375,0.2298773699440062,344.95703125
7,0.3515625,0.2204590435139835,347.56640625
8,0.3515625,0.20982841751538217,349.30859375
9,0.3203125,0.21016087289899588,344.0234375
10,0.359375,0.20532915368676186,334.30078125
11,0.421875,0.19272675761021674,341.1015625
12,0.4609375,0.1982581822667271,331.734375
13,0.4140625,0.19177893886808306,339.98046875
14,0.4765625,0.1850291546434164,326.81640625
15,0.4765625,0.18052593187894672,326.78515625
16,0.484375,0.17606581468135118,321.49609375
17,0.46875,0.1656919566448778,327.015625
18,0.4765625,0.15909387182909995,330.78515625
19,0.453125,0.15525329275988042,329.25390625
20,0.46875,0.14898384572006762,332.5078125
21,0.4453125,0.1444964986294508,329.46875
22,0.4140625,0.13876934396103024,329.0625
23,0.5234375,0.13395678310189396,332.421875
24,0.5859375,0.1221265994827263,323.5546875
25,0.5078125,0.1270001499215141,315.515625
26,0.5,0.1172512776684016,322.26953125
27,0.5625,0.11534863209817559,324.23828125
28,0.53125,0.10756918007973582,332.078125
29,0.40625,0.1046600733534433,336.51953125
30,0.4609375,0.10146808403078467,334.21484375
31,0.5546875,0.0940029657795094,326.70703125
32,0.546875,0.09369202156085521,341.0625
33,0.5,0.09334374580066651,340.91015625
34,0.5,0.08695134776644409,336.08984375
35,0.5234375,0.08512043033260852,332.96875
36,0.53125,0.08525674801785499,328.53125
37,0.546875,0.08299583254847676,327.96484375
38,0.5,0.07628917112015188,329.3671875
39,0.46875,0.07652859122026712,329.875
40,0.5390625,0.07507556327618659,330.4453125
41,0.5859375,0.07180265063652769,328.42578125
42,0.5078125,0.06977660593111068,333.78515625
43,0.578125,0.06300139948143624,327.40234375
44,0.5625,0.060809450573287904,326.20703125
45,0.6171875,0.06078112788964063,328.078125
46,0.65625,0.06029900602879934,328.83203125
47,0.4921875,0.06262953506666236,332.01171875
48,0.5234375,0.057231674320064485,338.1796875
49,0.546875,0.05654511452303268,331.21875
50,0.5234375,0.055711864231852815,325.94921875
51,0.578125,0.054038443573517725,328.44140625
52,0.5390625,0.0527214256580919,335.03125
53,0.6015625,0.049765037634642795,342.84375
54,0.6015625,0.051233451056759804,326.8984375
55,0.6015625,0.051584227301646024,327.57421875
56,0.671875,0.05037051663384773,330.67578125
57,0.5390625,0.053587493108352646,331.91015625
58,0.5859375,0.05220742244273424,339.8046875
59,0.546875,0.050251842447323725,336.28515625
60,0.640625,0.04853784432634711,332.16796875
61,0.5546875,0.04986673122039065,348.07421875
62,0.5234375,0.051158502959879115,344.35546875
63,0.5546875,0.05566409949096851,345.66015625
64,0.578125,0.05167385970707983,343.64453125
65,0.640625,0.049358421441866085,341.05859375
66,0.6640625,0.05137901654234156,331.796875
67,0.59375,0.050883851828984916,342.484375
68,0.59375,0.050690519623458385,338.78125
69,0.65625,0.05067349231103435,326.30078125
70,0.671875,0.05163303960580379,331.12109375
71,0.71875,0.048946858529234305,335.06640625
72,0.6484375,0.05229134624823928,325.93359375
73,0.609375,0.04862490462255664,346.2265625
74,0.5859375,0.04999201832106337,336.90625
75,0.671875,0.05173924035625532,340.30859375
76,0.703125,0.04505015599715989,335.546875
77,0.6640625,0.04542514178319834,323.12890625
78,0.625,0.04755689311423339,337.16015625
79,0.6640625,0.04533672402612865,323.9296875
80,0.6796875,0.047580627957358956,332.86328125
81,0.703125,0.044828322279499844,333.77734375
82,0.65625,0.04442961880704388,330.78515625
83,0.6640625,0.04064874368486926,329.8125
84,0.59375,0.040628122427733615,338.56640625
85,0.609375,0.038204482712899335,339.10546875
86,0.5859375,0.0416280965146143,341.78125
87,0.609375,0.03776891442248598,330.13671875
88,0.59375,0.03898456660681404,323.82421875
89,0.5546875,0.038032882774132304,330.6640625
90,0.578125,0.036930095055140555,332.12890625
91,0.578125,0.04003024099802133,332.62890625
92,0.59375,0.04627138332580216,326.5703125
93,0.6484375,0.04119934905611444,330.22265625
94,0.671875,0.04281286092736991,331.6484375
95,0.6328125,0.040595043188659474,347.6875
96,0.625,0.040663175328518264,322.5078125
97,0.5859375,0.04174824390793219,337.8828125
98,0.578125,0.041196930440492,336.921875
99,0.6484375,0.037260690733091906,337.91015625
100,0.6484375,0.036303439614130184,342.5390625
101,0.59375,0.04578940593637526,339.9296875
102,0.578125,0.044196138085681014,342.6171875
103,0.5625,0.04125640101847239,349.94140625
104,0.515625,0.039974098981474526,347.1328125
105,0.671875,0.03838716514292173,340.2109375
106,0.6328125,0.035778495235717855,340.96875
107,0.6484375,0.03630162747867871,343.73828125
108,0.609375,0.03667481685988605,354.38671875
109,0.609375,0.03795143715979066,349.41015625
110,0.5625,0.04089104956074152,343.88671875
111,0.53125,0.044915276070241816,344.13671875
112,0.6328125,0.04040480351250153,345.0546875
113,0.609375,0.03948090488847811,351.03515625
114,0.59375,0.04242813530436251,348.66015625
115,0.578125,0.03803663254075218,332.45703125
116,0.671875,0.03869739313086029,331.8828125
117,0.6171875,0.03798841458046809,343.046875
118,0.640625,0.03962744613090763,349.4609375
119,0.578125,0.04196679691085592,348.00390625
120,0.5234375,0.050015359185636044,355.50390625
121,0.5703125,0.04986515446944395,357.79296875
122,0.5546875,0.05087065641419031,357.3515625
123,0.609375,0.05156225675455062,353.80078125
124,0.5625,0.05165124166524038,353.52734375
125,0.59375,0.05669095792109147,348.6875
126,0.59375,0.052805563289439306,351.65625
127,0.625,0.0476540968666086,355.1015625
