step,performance,entropy,output length
1,0.47734376788139343,0.5360907316207886,97.46484375
2,0.4804687798023224,0.5001618266105652,84.47265625
3,0.4359375238418579,0.5431066155433655,95.28515625
4,0.3648437559604645,0.5254294276237488,92.78125
5,0.4921875,0.5041138529777527,100.17578125
6,0.41171878576278687,0.48239874839782715,94.3203125
7,0.45234376192092896,0.4954698085784912,91.83203125
8,0.4742187261581421,0.5077823400497437,90.09765625
9,0.4117187559604645,0.4624108374118805,85.421875
10,0.45625001192092896,0.49163907766342163,92.0390625
11,0.47187498211860657,0.4881473481655121,90.13671875
12,0.5406249761581421,0.47073954343795776,97.1875
13,0.49687501788139343,0.4656045734882355,84.8359375
14,0.4999999701976776,0.4427623748779297,95.98828125
15,0.574999988079071,0.4565180242061615,91.453125
16,0.5468750596046448,0.47012168169021606,86.6796875
17,0.53125,0.4793522357940674,96.484375
18,0.5218750238418579,0.4591549336910248,88.75
19,0.6187499761581421,0.4581719934940338,86.7578125
20,0.6156250834465027,0.45198145508766174,86.83984375
21,0.5250000357627869,0.44739097356796265,86.61328125
22,0.550000011920929,0.4361304044723511,87.703125
23,0.5562500357627869,0.4631667137145996,93.37890625
24,0.671875,0.4503629803657532,87.70703125
25,0.5875000357627869,0.4226387143135071,83.99609375
26,0.503125011920929,0.46046996116638184,93.92578125
27,0.6968749761581421,0.45095494389533997,84.265625
28,0.4843750298023224,0.4462208151817322,87.9609375
29,0.6875,0.47044581174850464,90.33984375
30,0.518750011920929,0.4490358233451843,90.75
31,0.4937500059604645,0.480628103017807,91.546875
32,0.65625,0.4462365508079529,93
33,0.515625,0.457182914018631,89.1328125
34,0.4624999761581421,0.48513755202293396,91.7265625
35,0.6000000238418579,0.4660819172859192,97.0859375
36,0.5968749523162842,0.4588004946708679,93.72265625
37,0.581250011920929,0.49277907609939575,97.9140625
38,0.5812499523162842,0.47567737102508545,99.33203125
39,0.5031249523162842,0.4787575602531433,96.08203125
40,0.5406249761581421,0.4448830783367157,91.03515625
41,0.5781249403953552,0.4970623850822449,97.0703125
42,0.606249988079071,0.45816802978515625,90.578125
43,0.48124998807907104,0.4820640981197357,93.8671875
44,0.512499988079071,0.501237690448761,96.26171875
45,0.706250011920929,0.45190688967704773,95.15234375
46,0.53125,0.465669721364975,97.171875
47,0.612500011920929,0.48452579975128174,93.90625
48,0.5687500238418579,0.4931250214576721,91.76171875
49,0.6031250357627869,0.46368950605392456,92.1953125
50,0.6468749642372131,0.48050612211227417,102.49609375
51,0.65625,0.49077773094177246,96.78515625
52,0.6249999403953552,0.4747309982776642,95.84375
53,0.5929687023162842,0.5095617175102234,104.9921875
54,0.5648437142372131,0.49997997283935547,97.50390625
55,0.7250000238418579,0.4922475814819336,95.98828125
56,0.624218761920929,0.4978731572628021,101.93359375
57,0.524218738079071,0.5131337642669678,102.3125
58,0.5367187857627869,0.49551552534103394,101.9140625
59,0.6374999284744263,0.5008565783500671,100.328125
60,0.609375,0.4876472055912018,101.5078125
61,0.6187499761581421,0.50320965051651,102.83984375
62,0.633593738079071,0.5216565132141113,106.87109375
63,0.684374988079071,0.4943118989467621,102.66796875
64,0.6531250476837158,0.46875715255737305,102.3984375
65,0.637499988079071,0.5162452459335327,104.1171875
66,0.6499999761581421,0.5259105563163757,105.53125
67,0.5968749523162842,0.5162457823753357,103.6328125
68,0.5406249761581421,0.5287702679634094,106.37890625
69,0.640625,0.5201338529586792,106.22265625
70,0.5843750238418579,0.5341861844062805,100.15234375
71,0.5710937976837158,0.5453957319259644,108.63671875
72,0.6124999523162842,0.5453101396560669,108.1953125
73,0.528124988079071,0.5706241130828857,99.890625
74,0.5874999761581421,0.5410192608833313,97.0390625
75,0.5562499761581421,0.583601176738739,104.5234375
76,0.7156250476837158,0.5662386417388916,99.78125
77,0.550000011920929,0.5450842380523682,105.48828125
78,0.5781249403953552,0.5387402772903442,106.73046875
79,0.6656249761581421,0.5752645134925842,102.99609375
80,0.578125,0.5672119855880737,100.05078125
81,0.6937499642372131,0.5551518201828003,99.97265625
82,0.643750011920929,0.568581223487854,101.12890625
83,0.606249988079071,0.5883218050003052,106.234375
84,0.637499988079071,0.569854736328125,103.53515625
85,0.590624988079071,0.5574049949645996,100.9140625
86,0.721875011920929,0.5627599358558655,98.62109375
87,0.534375011920929,0.6049763560295105,100.00390625
88,0.5656249523162842,0.5786049365997314,103.265625
89,0.6218750476837158,0.5690590143203735,97.96875
90,0.565625011920929,0.5963596105575562,98.93359375
91,0.6781249642372131,0.5928937196731567,99.93359375
92,0.5687500238418579,0.577049195766449,95.3125
93,0.6343749761581421,0.5865760445594788,98.87890625
94,0.59375,0.5750962495803833,103.4609375
95,0.637499988079071,0.6092758178710938,96.015625
96,0.621874988079071,0.5783757567405701,96.390625
97,0.534375011920929,0.5779327154159546,93.00390625
98,0.6874999403953552,0.5638766288757324,88.671875
99,0.5843750238418579,0.5809060335159302,94.6796875
100,0.6812499761581421,0.5673291087150574,94.7421875
101,0.6312500238418579,0.5923410058021545,92.0078125
102,0.5968749523162842,0.5999672412872314,95.421875
103,0.578125,0.566561758518219,93.10546875
104,0.7124999761581421,0.5692985653877258,92.21875
105,0.640625,0.560757577419281,88.2734375
106,0.5093749761581421,0.5845962166786194,94.08203125
107,0.6343750357627869,0.5687558650970459,91.8671875
108,0.6937499642372131,0.5536713600158691,90.7578125
109,0.6749999523162842,0.5731595158576965,88.98046875
110,0.6343750357627869,0.5693368315696716,91.7734375
111,0.7156249284744263,0.5401323437690735,87.94140625
112,0.621874988079071,0.5467422008514404,88.25
113,0.6468750238418579,0.565003514289856,88.9375
114,0.643750011920929,0.57924884557724,89.33984375
115,0.71875,0.6001027822494507,91.234375
116,0.7062499523162842,0.5821537971496582,88.03515625
117,0.606249988079071,0.6067222356796265,95.18359375
118,0.628125011920929,0.6183574795722961,97.83984375
119,0.699999988079071,0.615625262260437,99.8984375
120,0.6156250238418579,0.6047572493553162,95.90625
121,0.675000011920929,0.6108985543251038,96.98828125
122,0.653124988079071,0.6147572994232178,99.6328125
123,0.46875,0.620150089263916,98.36328125
124,0.7218749523162842,0.6043577790260315,100.93359375
125,0.6093750596046448,0.6236624717712402,102.21875
126,0.637499988079071,0.6199356913566589,97.1875
127,0.6812499761581421,0.60112065076828,96.90234375
128,0.6531249284744263,0.6092159748077393,100.5390625
129,0.653124988079071,0.61491459608078,97.16796875
130,0.5718750357627869,0.6015224456787109,100.578125
131,0.640625,0.6136547327041626,101.44140625
132,0.6062499284744263,0.582244336605072,101.33203125
133,0.659375011920929,0.5968239307403564,100.11328125
134,0.6531249284744263,0.601670503616333,104.29296875
135,0.6460937261581421,0.5911896228790283,100.64453125
